[ 53, 29, 89, 0, 0, 0, 31, 0 ]
[ 98, 8, 32, 2, 0, 0, 94, 11 ]
[ 117, 141, 203, 25, 0, 0, 28, 0 ]
[ 95, 114, 436, 345, 98, 38, 16, 0 ]
[ 118, 41, 152, 284, 148, 171, 36, 0 ]
[ 104, 7, 2, 61, 81, 193, 142, 2 ]
[ 90, 37, 0, 0, 5, 1, 3, 0 ]
[ 50, 69, 28, 38, 28, 6, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 26, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 23, 6, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 2, 6, 0 ]
[ 6, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 79, 75, 44, 19, 23, 25, 5, 9 ]
[ 70, 44, 17, 21, 17, 10, 6, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 171, 33, 0, 0, 0, 0, 0 ]
[ 0, 47, 153, 11, 14, 0, 0, 0 ]
[ 0, 0, 0, 0, 60, 18, 0, 0 ]
[ 1, 48, 92, 68, 38, 61, 70, 5 ]
[ 29, 72, 101, 98, 92, 141, 165, 28 ]
[ 29, 21, 38, 0, 0, 0, 0, 0 ]
[ 14, 99, 150, 0, 0, 0, 0, 0 ]
[ 26, 24, 23, 0, 0, 0, 0, 0 ]
[ 69, 0, 0, 0, 0, 0, 0, 0 ]
[ 51, 0, 211, 34, 0, 0, 0, 0 ]
[ 18, 0, 40, 7, 0, 0, 0, 0 ]
[ 126, 0, 0, 0, 0, 0, 0, 0 ]
[ 65, 0, 0, 0, 0, 0, 0, 2 ]
[ 11, 0, 27, 13, 26, 8, 2, 0 ]
[ 64, 0, 14, 41, 17, 0, 0, 7 ]
[ 66, 0, 70, 66, 18, 0, 3, 0 ]
[ 19, 0, 0, 65, 83, 94, 43, 1 ]
[ 86, 0, 0, 58, 0, 36, 109, 31 ]
[ 113, 6, 0, 31, 0, 0, 20, 24 ]
[ 18, 0, 0, 0, 0, 0, 0, 16 ]
[ 22, 33, 25, 32, 24, 33, 69, 21 ]
[ 14, 0, 71, 94, 120, 73, 32, 0 ]
[ 0, 19, 111, 49, 18, 1, 0, 0 ]
[ 0, 28, 9, 0, 0, 26, 35, 0 ]
[ 0, 0, 0, 1, 0, 1, 0, 0 ]
[ 0, 0, 0, 0, 2, 51, 19, 0 ]
[ 33, 223, 369, 271, 212, 138, 188, 10 ]
[ 0, 19, 60, 66, 74, 50, 17, 15 ]
[ 0, 0, 0, 0, 0, 0, 70, 125 ]
[ 0, 0, 0, 0, 0, 9, 0, 19 ]
[ 0, 0, 0, 0, 0, 6, 0, 0 ]
[ 0, 0, 0, 0, 0, 2, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 1 ]
[ 0, 0, 0, 18, 3, 7, 15, 82 ]
[ 28, 0, 0, 3, 0, 0, 12, 66 ]
[ 12, 0, 5, 0, 4, 12, 33, 81 ]
[ 0, 0, 0, 0, 0, 0, 0, 15 ]
[ 0, 1, 0, 0, 0, 0, 0, 13 ]
[ 0, 0, 0, 0, 0, 0, 0, 7 ]
[ 0, 23, 0, 0, 0, 0, 0, 4 ]
[ 0, 124, 63, 0, 0, 0, 0, 1 ]
[ 0, 0, 15, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 11 ]
[ 0, 0, 3, 0, 0, 10, 2, 9 ]
[ 0, 81, 91, 42, 29, 42, 12, 7 ]
[ 0, 165, 100, 79, 108, 136, 43, 5 ]
[ 4, 113, 38, 10, 15, 20, 0, 3 ]
[ 0, 40, 83, 39, 18, 2, 0, 1 ]
[ 0, 115, 81, 0, 54, 84, 40, 16 ]
[ 19, 61, 107, 28, 54, 81, 42, 58 ]
[ 50, 0, 0, 0, 0, 4, 7, 69 ]
[ 8, 0, 7, 10, 7, 3, 15, 65 ]
[ 25, 30, 17, 3, 5, 0, 0, 0 ]
[ 0, 45, 29, 0, 0, 1, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 4, 0, 0 ]
[ 0, 0, 1, 0, 0, 0, 0, 0 ]
[ 0, 0, 4, 21, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 9 ]
[ 0, 0, 0, 0, 0, 7, 138, 62 ]
[ 20, 0, 0, 0, 0, 0, 0, 0 ]
[ 27, 0, 0, 0, 0, 0, 0, 0 ]
[ 43, 0, 0, 0, 0, 0, 0, 0 ]
[ 27, 0, 0, 0, 0, 0, 0, 0 ]
[ 21, 0, 0, 0, 0, 0, 0, 0 ]
[ 26, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 1, 0, 0, 0, 0, 15, 33, 0 ]
[ 75, 14, 0, 48, 70, 66, 69, 150 ]
[ 78, 0, 0, 28, 75, 53, 11, 150 ]
[ 39, 0, 8, 123, 162, 163, 107, 157 ]
[ 73, 0, 0, 2, 18, 30, 38, 139 ]
[ 84, 44, 0, 0, 0, 0, 0, 97 ]
[ 13, 48, 23, 60, 78, 28, 53, 130 ]
[ 88, 215, 219, 197, 163, 96, 28, 37 ]
[ 35, 89, 74, 81, 74, 58, 26, 3 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 11, 17, 7, 54, 35, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 23, 19, 0, 0, 0, 0 ]
[ 0, 0, 38, 189, 68, 0, 0, 0 ]
[ 0, 0, 0, 0, 1, 0, 0, 0 ]
[ 120, 209, 160, 123, 142, 147, 110, 9 ]
[ 97, 183, 162, 133, 126, 142, 60, 0 ]
[ 4, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 3, 0, 0, 0, 0, 0 ]
[ 0, 2, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 8, 0, 0, 0, 0, 0 ]
[ 0, 0, 75, 21, 0, 0, 0, 0 ]
[ 0, 0, 0, 23, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 20, 50 ]
[ 0, 0, 0, 0, 0, 17, 155, 127 ]
[ 0, 0, 0, 0, 0, 11, 9, 26 ]
[ 0, 0, 0, 0, 0, 10, 4, 4 ]
[ 0, 0, 0, 14, 69, 70, 22, 4 ]
[ 0, 0, 0, 0, 30, 46, 50, 19 ]
[ 0, 0, 0, 17, 1, 7, 51, 34 ]
[ 1, 0, 0, 0, 0, 28, 85, 98 ]
[ 45, 56, 44, 36, 29, 51, 160, 183 ]
[ 0, 23, 19, 8, 18, 47, 61, 74 ]
[ 0, 53, 118, 13, 6, 0, 3, 0 ]
[ 0, 62, 146, 65, 13, 0, 16, 1 ]
[ 23, 20, 54, 0, 0, 0, 0, 0 ]
[ 0, 0, 55, 10, 0, 0, 0, 0 ]
[ 21, 0, 94, 31, 0, 0, 0, 0 ]
[ 20, 0, 0, 0, 0, 0, 0, 0 ]
[ 107, 0, 0, 0, 0, 0, 0, 0 ]
[ 55, 2, 0, 0, 0, 0, 0, 1 ]
[ 0, 8, 102, 80, 76, 102, 40, 0 ]
[ 0, 1, 144, 100, 87, 105, 19, 0 ]
[ 43, 90, 181, 34, 5, 9, 0, 0 ]
[ 0, 12, 145, 227, 134, 65, 7, 0 ]
[ 5, 0, 1, 172, 101, 275, 205, 16 ]
[ 140, 159, 117, 213, 98, 189, 154, 85 ]
