[ 20237, -8079, 14341, -7135, -13707, -24149, -34709, -24159 ]
[ 39570, 18720, 59418, 6681, -15742, -42422, -62415, -41474 ]
[ 62407, 79119, 79745, -9617, -58281, -76930, -63221, -36102 ]
[ 93035, 113637, 127403, -5304, -72295, -71794, -79808, -68915 ]
[ 62890, 38715, 153347, 142539, 21822, 27754, -69439, -112785 ]
[ 66131, -46061, 47670, 110004, 39531, 48177, -101662, -154308 ]
[ 88668, -35619, -49533, 14670, -151, 4665, -76712, -136371 ]
[ 68529, 1843, -53324, -38104, -40779, -32743, -62445, -84741 ]
[ 2309, 29997, 51998, 29517, 23351, 16649, 490, 11367 ]
[ 17948, 33031, 46756, 20263, 8669, 11959, 647, 29862 ]
[ 17178, 37322, 67206, 35756, 16655, 12192, 1307, 23962 ]
[ 41340, 38427, 86776, 60112, 39424, 55075, 37450, 36904 ]
[ 75816, 76844, 136071, 109629, 76674, 87572, 55747, 45433 ]
[ 50710, 57288, 117989, 60959, 51535, 36405, 3638, 31328 ]
[ -7484, -17806, -1488, -22536, -5941, -22079, -25951, 41788 ]
[ 2878, 4933, 11904, 9116, 12410, 12656, 5942, 42567 ]
[ -18217, -27029, -9683, 20735, 21904, -739, 3657, -21064 ]
[ -33367, -47347, -14113, 32845, 23739, -15508, -773, -25208 ]
[ -35359, -98514, -60402, 4290, 30581, 5755, 23948, -20320 ]
[ -37709, -120732, -162154, -64753, -14486, 13650, 47350, -5824 ]
[ -19647, -52683, -145245, -90950, -75346, -30205, -9686, -26271 ]
[ 26963, 38031, 3523, 19852, -38564, -5292, -6742, -32803 ]
[ -18205, 32824, 76640, 88994, 72545, 84923, 46363, -22366 ]
[ 428, 49970, 53449, 52218, 55749, 66793, 29973, -23801 ]
[ -3884, 56231, 52702, 44123, 58432, 66921, 50076, 5608 ]
[ 13439, 41565, 45979, 53160, 59981, 59561, 61873, 14832 ]
[ 15087, 31919, 65622, 69196, 53886, 33511, 55415, 23651 ]
[ 21897, 101832, 180813, 114667, 84965, 79830, 87881, 40205 ]
[ 71897, 117166, 187906, 204657, 194712, 158249, 139512, 67513 ]
[ 79245, 38316, 48843, 92971, 161749, 145189, 162804, 109136 ]
[ 39718, 12414, 21117, 15589, 58383, 77641, 83489, 63564 ]
[ 30167, 33928, 43613, 33438, 30430, 29214, 28459, 34266 ]
[ -4905, -29155, -31438, 24844, 31803, 11982, 20026, 23337 ]
[ 1281, -31070, -7475, 89828, 78166, 44306, 33725, 29481 ]
[ 3584, -44592, 26960, 140903, 111569, 59923, 39854, 37800 ]
[ -6541, -61957, -32119, 108228, 130180, 81508, 78546, 58409 ]
[ 14007, -27048, -104088, 14697, 76403, 55121, 108645, 73996 ]
[ -5855, 11680, -58447, 1710, 52918, 55739, 91922, 76114 ]
[ -41186, 15575, 29176, 27909, 39763, 39493, 60521, 34901 ]
[ -44565, 27802, 47087, 40556, 39301, 52785, 54566, 18896 ]
[ -26644, -43819, 26425, 42290, 22015, -851, 8750, -12367 ]
[ -26887, -26013, 38141, 37652, 12102, -14406, -10374, -14244 ]
[ -12, 9590, 79571, 88627, 66585, 28351, -2131, -10635 ]
[ -22558, -85748, 35739, 69993, 40637, 40326, 24279, 5569 ]
[ -14487, -96954, 1398, 28923, 23785, 44930, 16884, -2481 ]
[ 29651, 5165, 44561, 48378, 15851, 37362, 26747, -6168 ]
[ 7011, 3247, 1857, 16770, 9952, 12867, -16893, -14385 ]
[ 23091, 41110, 22900, 20599, 26566, 17657, -22192, -12692 ]
[ -21903, -39105, -41778, -36225, -33301, -26875, -44412, -9818 ]
[ -43871, -91146, -54217, -25247, -19319, -8946, -22230, 10104 ]
[ -87944, -172480, -154483, -71123, -32812, -18197, -25582, 16747 ]
[ -74964, -176834, -149754, -76290, -76932, -43622, -35845, 5873 ]
[ -2005, -53818, -84202, -6937, -37157, -31231, -32764, 5813 ]
[ -33973, -59769, -123329, -77261, -33253, -50577, -2592, 20366 ]
[ -13253, 56958, 35153, -7150, 9423, 32787, 36858, 43427 ]
[ -19063, 33088, 46862, 32088, 24254, 8849, 3458, 25760 ]
[ 5962, -40220, -63327, -88144, -55259, -71411, -69502, -22701 ]
[ 30230, -6440, -27577, -31739, 169, -45696, -59096, -4550 ]
[ 54302, -3143, -18903, -23601, 3925, -2918, -22385, 11554 ]
[ 40087, -11927, 15623, -29821, -68995, -30886, -45275, -18278 ]
[ 88488, -2660, 18640, 63174, 6984, -32346, -84422, -62078 ]
[ 53422, -49009, -112493, -16999, 1279, -16684, -41269, -65137 ]
[ 31756, -48638, -47549, -6927, -20415, -11234, -21420, -46881 ]
[ -23, 6666, 16418, 24724, 21839, 27544, 13878, -35854 ]
[ -37243, -43543, -41604, -28452, -10938, -9115, -25537, -20257 ]
[ -40345, -83346, -78622, -63073, -36809, -25900, -24611, -23074 ]
[ -27397, -52809, -78751, -104875, -83743, -60066, -49818, -28149 ]
[ -55604, -44505, -60485, -100704, -52338, -39686, -53454, -34902 ]
[ -6576, -42689, -34323, -59224, -48048, -55848, -77592, -44410 ]
[ -2510, -9072, 15779, -19322, 542, 23339, -9236, -10318 ]
[ 1780, 34118, 32102, 19425, 17912, 25648, 12244, 2178 ]
